case_id,original_status,original_failure_reason,valid_temperature,valid_Qjoule,valid_Qcontact,valid_selection,valid_heat_balance_strict,valid_heat_balance_reclassified,heat_balance_status,overall_valid_reclassified,thermal_warning,thermal_risk,final_failure_reason
RUN008_CASE_089,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_090,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_091,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_092,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_093,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_094,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_095,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_096,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_097,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_098,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_099,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_100,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_101,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_102,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_103,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_104,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_105,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_106,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_107,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_108,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_109,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_110,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_111,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_112,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_113,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_114,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_115,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_116,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_117,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_118,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_119,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_120,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_121,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_122,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_123,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_124,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_125,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,true,false,
